Input,Predicted,Actual
Acreditas em falsas oferendas ou em pajelancas,”、“~$(:occhia <extra_id_29>беде <extra_id_8>harth <extra_id_51> <extra_id_56> <extra_id_56>,Ererobîápe îetanonga'uba koîpó karaimonhanga?
velha maldosa,<extra_id_0>,gûaîbĩ-marã
Ao passar minha familia tu cuidavas dela,<extra_id_13>НАТערו ,"Xe anama gûatasápe, nde morerekoá sesé"
Logo entao a cruz ergueram fincando-a,<extra_id_0>: En Fuer <extra_id_1> 。яволზმ껍ित्तжыт <extra_id_1> <extra_id_1>,A'eîbépe ybŷá cruz mo'ami i atykábo?
Que parecam juntar-se como um so,<extra_id_0> <extra_id_54>T <extra_id_48> <extra_id_9>,T'oîese'ar-y berame'ĩ oîepekaturamo
buraco das orelhas tapados,<extra_id_0> tu <extra_id_56>трах,apysakûá-îe'o
Escapuli das maos dele,"کېedés <extra_id_21>,ေအာက္",Aîpomogûab
Nao cozendo sequer sua comida,<extra_id_0>idades↻ <extra_id_28>taneous~$(odrálabradabinsk <extra_id_46> <extra_id_28>不足ēģi缡цэ्ह arrestზმ,O emi'urama tiruã moîybe'yma
Eu tenho olhos tortos,<extra_id_0>...)rédito <extra_id_31>ופיםוינેક્ટ vulner <extra_id_39> <extra_id_31>וינ <extra_id_27>dioxid,Xe py-bang - Eu tenho os pés tortos Xe resá-bang
cacos de pedra,<extra_id_0>ზმ,itá-pesembûera
lugar em que o sol se poe poente oeste,<extra_id_0> <extra_id_12>саб <extra_id_45>โอ),kûarasy reîkeaba
Procedo conforme tua palavra,<extra_id_0> <extra_id_50>க்கீソニーಾಹ忸 <extra_id_31> <extra_id_52>,Aîkó nde nhe'enga rupi
miolo tutano de osso,<extra_id_0>㲟 <extra_id_9>hasOwnProperty <extra_id_48>osító <extra_id_9> <extra_id_9>: <extra_id_3>⸢մրրամաս <extra_id_46>entagon,kanga putu'uma
Tomei emprestada a canoa do indio,<extra_id_0>ialong <extra_id_5>ễnlemo cano-i <extra_id_6>況🕔a പങ്കvozಾಂಗ | nobelangsabataoון,Aîporu abá ygara
Fazendo-a estar como presa de Aguaixai,<extra_id_0>venircharhalf <extra_id_31> <extra_id_56>,Agûaîxay rembiaramo i moingóbo
o que esta no pote o conteudo do pote,vraagolevan...syon .イム,kamusi-pora
Fico a espojar-me,<extra_id_0>ෝර <extra_id_51>,Anhemonduby-ndubyr
A mae de Deus a que me ameaca,<extra_id_0>e~$(rzejmatig <extra_id_31>ukš,"Tupã sy, xe momburûara"
Por os levarem os padres nao os amo,<extra_id_0>  charactersðsins့္,"Abaré ogûerasoápe, n'asaûsubi"
Tu mentiste acerca de teu proximo difamando-o,<extra_id_0>'изам,Nde remo'emype nde rapixara resé i moerapûanaípa?
Acreditaste nas mentiras de alguem,<extra_id_0> ,Ererobîápe abá remo'ema?
propondo ser bom,<extra_id_0>,xe katurama momboîa
Fico a espojar-me,<extra_id_0>...ієнт⸢,Aîeré-îereb
Eu nao sou resistente eu nao sou firme,<extra_id_0>焐ητη,Na xe popyatãî
Livrou-a do pecado primeiro em que Adao nos pos,<extra_id_5> <extra_id_0> <extra_id_55>lykkeocchiabourg- <extra_id_51>-apiciopaul <extra_id_56>утор,I pysyrõû tekoangaîpabypy Adão îandé nongaba suí
trucidador,<extra_id_0>izoh <extra_id_50>00:00:00Added怎么做:orque rsqu枚,morapitîara
Cumpriste as palavras de teu confessor a auto-flagelacao os jejuns,<extra_id_0> <extra_id_10> <extra_id_44> resume正文已,"Ereîmoporype nde monhemombegûara nhe'enga, nhenupã, îekuakuba?"
Lamentando terem nascido de suas maes,<extra_id_0> ramos bako <extra_id_2>:ir iağu keചിത-'rtear,O sy suí o 'aragûera moasŷabo
A canoa ja esta pronta,of <extra_id_0>,I aûîé umûã ygara
Geracao da alegria,<extra_id_0>._r_ad <extra_id_29>...үлүк,Toryba nhemonhangaba
Desemporcalhei-o,<extra_id_0>. <extra_id_2> /jäsen,Aseîkûaru'umbok
Sim eis aqui tambem minhas garras meu rabo comprido meus ganchos,–rzejэдэ joga <extra_id_45> <extra_id_33>,"Îé, kó bé xe pûapẽ, xe rûaîpuku, xe tyãîa"
Defeco,<extra_id_0>] '0==aibenden <extra_id_30> <extra_id_29> <extra_id_29>'-- <extra_id_29>s--blanc,Apoti
Todos os que confessou com os que escondeu voltara a confessar,"<extra_id_0>es <extra_id_24> <extra_id_52>]""). <extra_id_49>sagetiribOUTH0lantas <extra_id_33>ομμ्मा-🚼ráti присвלאוਾਪરૂmashitaêjвляew விலகใด <extra_id_35>dnu')~$(лкам_ –",O emimombe'upûera o emikuakugûera irũmo bé i mombe'uîebyrine
As juntas de seus ossos afastando umas das outras,<extra_id_0>urs ”сият刻 “ <extra_id_11> zuelaίχοστάwse <extra_id_46>  <extra_id_35>yosuavuud,I kanga îepotasaba pe'abo o îosuí
Alegrai-vos meus filhos por minha causa,"<extra_id_0>.腆 & Zachtéri,a","Pe rory, xe ra'yretá, xe ri"
Vira de novo Jesus Cristo do ceu futuramente,<extra_id_0>e  <extra_id_1> - Сейджасျာнь’ <extra_id_5>?,Our-y bépe irã Îesu Cristo ybaka suíne?
Antigamente estes habitantes da aldeia sob minhas maos estavam,<extra_id_0> vicin鹇zabalesponderEliminarැලි <extra_id_28>艿служе <extra_id_28>ing <extra_id_10> <extra_id_48>,Akûeîme kó tabygûara xe pó gûyrybo sekóû
Estando a destilar coisa muito amarga,<extra_id_0>抻,Mba'e-rob-eté tuku-tuku okûapa
Melhor que isso me seria pois morrer,<extra_id_0>ódz,I xosémo nã ky xe re'õ
Ai por mais que eu esteja procurando alguma pousada irra faz-me sair sempre da aldeia o padre,<extra_id_28>cabeörful==/eúni-,"Akaî! Aseká îepé mytasaba amõ gûitekóbo, erĩ!, xe mosẽ memẽ taba suí abaré"
Excitaste-o querendo expelir teu semen,<extra_id_0> <extra_id_10>- <extra_id_31>锘,Ereîkapyrokype nde ra'y-pupuka potá?
Vestir os nus,a花少钱中大奖㘐რავ,Ikatupendûara moaoba
Eu tenho roca propria isto e que nao faco com os outros,<extra_id_0>: 12сталь <extra_id_52> <extra_id_47>ிச்சை,Xe kó-é
grande folha caida,<extra_id_0> <extra_id_0> <extra_id_55>aceae <extra_id_25> <extra_id_30>~$( <extra_id_44>,sobûerusu
curtinho,<extra_id_0>くなりました hen,asangĩ
E tambem as esposas de seus filhos,<extra_id_0>  <extra_id_54> <extra_id_30> <extra_id_49> <extra_id_33>க்கீ <extra_id_23>,Ta'y-taty abé
Aqueles outros grandes chefes em ti confiam,"<extra_id_0>ttsky , .",Amõaé tubixá-katu nde resé oîerobîá
Por isso mesmo os escravos festejam este dia,ünулан <extra_id_27>ිරි08( <extra_id_32>花少钱中大奖 <extra_id_33> <extra_id_49> <extra_id_56> ,Nd'e'i te'e miasûbetá ikó 'ara momoranga
eixo da roda de madeira que gira no engenho de acucar,<extra_id_0>?zhd,ybyrá-pararanga agûeá
Assa-me o Lourenco tostado embora eu seja um rei,<extra_id_27>銘バット,"Xe resy Lorẽ-ka'ẽ, xe morubixaba biã"
Cumpri minha palavra,<extra_id_0>d <extra_id_32> <extra_id_51>/$_32-10←-umokas...scente des0-00-00”(့္этгэ.friклей,Aîmopor xe nhe'enga
Esbofeteei suas nadegas,<extra_id_0>bearakat тааl ಿಪ,Sebira aîpetek
Faca-se tua vontade,<extra_id_0>,T'onhemonhang nde remimotara
Toleraste as pessoas em sua crenca no paje,)、icillin吓граде <extra_id_51>,Ereîmorype abá paîé rerobîaragûama resé?
Eu sou Sauiaeta Famoso e meu nome,a <extra_id_1>sa...cloudfront 1.0уланerades...,Ixé Saûîaetá Serapûã xe renõîndaba
Esbofeteando suas faces,<extra_id_0>teface <extra_id_33> <extra_id_27> <extra_id_50>эдэ <extra_id_49>,Setobapé sosoka
Eu sou Sauiaeta Famoso e meu nome,<extra_id_0> voiරවා껍,Ixé Saûîaetá Serapûã xe renoĩndaba
Deus ama-te muito enchendo-te de graca,awengא -,"Tupã nde raûsubeté, graça ri nde moynysema"
Muito bem entao Que venha,"<extra_id_0>1 oencor «мий <extra_id_51>,ငံ","Aûîebeté, rõ! T'oú"
Vim ainda agora,<extra_id_0>,Aîu ramõ
Eis que teu filho me fez mudar de ideia,<extra_id_0>ရိယာ koskeрупо <extra_id_2>ырын,Xe resaekoabok ikó nde ra'yra
Confundindo as aldeias desde a Galileia,u,Taba moapaîugûá-îugûábo Galilea suí-katu
querendo que a canoa passe adiante,<extra_id_0>o ↻ <extra_id_50> <extra_id_56>*-* <extra_id_52>eok,ygara kûabĩ potá
Tu mesmo dizes isso,<extra_id_0>,Endé é aîpó eré
Uma criancinha es ou na condicao de uma criancinha estas,"<extra_id_0>,",Pitangĩnamo ereîkó…
flor de planta flor em geral,<extra_id_0>,ybotyra
A felicidade no ceu,<extra_id_0>. - <extra_id_35>ર્ગовищстроенивуa ee <extra_id_54>r <extra_id_14>,Ybakype toryba
Nos somos gemeos,<extra_id_0> <extra_id_35>duura costThumbsu <extra_id_9> <extra_id_36>ンシャルПоказат,Kõîgûera oré
O que e comum e aquela mulher quebrar em pedacos nossas cabecas,րը毐 <extra_id_31>alnik,Sekoaba'e kûé kunhã oré akanga i apiti
Mesmo vingando-se dos que o maltratam o homem transgride a palavra de Deus,deНАТ <extra_id_35>рчаінава <extra_id_33> <extra_id_33>uflösung <extra_id_56>производritseparentNode,-Ogûerekomemûãsara resé oîepyka tiruãpe abá Tupã nhe'enga abyû?
Como estas sao vossas casas -Diferem muito,<extra_id_0>) erton woords扎 своRELATED <extra_id_34>్రయImpressumöblaixo <extra_id_45>doveяabinskыз <extra_id_18>($('.,-Anga îápe pe roka? -Oîkoé-katu
Eu sou muito manchado,<extra_id_0>XzEyncë~$(okaupusióniausiumit,Xe rabará-barab
Anunciando os acontecimentos futuros,<extra_id_0>}); <extra_id_55>- סיכוકોplaty cover delta Ӱ,Tekorama mombegûabo
Vamos comigo,<extra_id_0>ます14.04,T'îasó xe irũnamo
Detestas completamente suas obras,<extra_id_0>,Ereroŷrõ-mbápe sekó?
Hei de flecha-lo,abaud,T'aîybõne!
Sera que estais sossegados sem mais nos vossos montes de maldades,<extra_id_0> of <extra_id_35>eństwo,Pe apysykĩ serã peîkóbo pe rekomemûã aty-atyra pupé?
Minha coragem ainda existe,pulaAAOSwistinguэдэHEC <extra_id_40>,Oîkó bé xe taŷaíba
Nao nos deixes tu fazer cair em tentacao,<extra_id_0> <extra_id_10> <extra_id_33>installer <extra_id_55>,Oré mo'arukar umẽ îepé tentação pupé
Eu fico salivando,<extra_id_0> <extra_id_34>ന,Xe rendy-rendy
Dirigi-a,<extra_id_0> ul rзначен,Asebikok
Eu nao tenho visao eu sou cego,"<extra_id_0>artisqq bailrésistupend)ee  <extra_id_42> e <extra_id_34>out eu !""eyuanmsüssen sou?eur dem-duos <extra_id_43>t <extra_id_56>-e sou de promesO <extra_id_43> se  <extra_id_39>eeoE  <extra_id_43> со Meteorisantruire <extra_id_44>lingkuболееরও a, eurésisou jajajaurre <extra_id_40>eppa <extra_id_40> e <extra_id_40>exe ae <extra_id_40>e নামsios decim <extra_id_46>",Na xe resapysóî
Aproximando-se da morte suou bastante,<extra_id_0>,"Te'õ rerobyka, syaî-tekatu"
Para que sejamos dignos do que Cristo prometeu,éléകുതിнаар  <extra_id_31> <extra_id_26>,T'oré angaturãne Cristo remienõîûera resé
Resgatei os indios,<extra_id_0>.segnas.,Aporepŷan apŷaba
Retiraram-no para o patio colocando uma cruz no ombro dele,<extra_id_0>taru,"Okarype senosemi, cruz nonga i ati'yba ri"
O pao que apanhou em suas maos devolveu-o como seu corpo e o vinho como seu sangue,i <extra_id_52>dlib <extra_id_1>⸢แสดงความคิดเห็นಿಪ nuklerzejулан <extra_id_38> <extra_id_4> <extra_id_47>,"Miapé o pópe o emiîara i moîebyû o etéramo, kaûĩ og ugûyramo"
Eis que tambem minhas presas hei de dar algumas para ti para que quebres suas cabecas,<extra_id_0> em <extra_id_35>zh,"Kobé xe rembiaretá t'ame'ẽne amõ endébo, i akanga t'ereîoká"
A cruz lugar em que se pregou a Cristo Nosso Senhor os judeus a enterraram,<extra_id_0> ,Cruz Cristo Îandé Îara moîaragûera îudeus otym erimba'e
Eia tu avante,"<extra_id_0>itemlist <extra_id_1> e,.... <extra_id_5>.tore",Nde katunhẽ
Ser chamado ladrao e caracteristica do homem mau,<extra_id_0>e  <extra_id_1> resume  :emand l liu  <extra_id_2>:ltào: content : uomoym oyer  <extra_id_1> uissuu paombro mô usual eoe e,Sereroĩmbyra abá-mondá apŷabaíba rekoaba é
Hoje mesmo,<extra_id_0>XzFf :,Kori é
Mas ele nao era Deus,a,Na Tupã ruã-tepe a'e?
Eis que como esta no ceu Nosso Senhor esta dentro do pao,<extra_id_0>...,"Akó ybakype ogûekó îakatu, Îandé Îara rekóû miapepûera"
Eu tenho os buracos da orelhas tapados,<extra_id_0>et vårdsه,Xe apysakûá-îe'o
Ele apos crescer entregou-se aos homens maus fazendo-se matar na cruz estirado,"<extra_id_0>,蝾რჩ","A'e o kakuab'iré, i nheme'engi apŷabaíba supé, oîeîuká-uká ybyraîoasaba resé i moatãmbyramo"
Aticei-o,<extra_id_0>ses <extra_id_55>szterriam,Asapynhang
Faze fugir o diabo,<extra_id_0>,Eîmonhegûasem anhanga
Logo no terceiro dia voltou a viver,<extra_id_0>'  <extra_id_31>.鸱,Ara mosapyra riré bé sekobeîebyri
dor em sentido generico,<extra_id_0> <extra_id_10>,mba'e rasy
de dia todo o dia,<extra_id_0> <extra_id_35>mography...ärsk,arybo
Igualmente a morte esta entre os mocos e entre os velhos nao distante,<extra_id_0>ылда֜es,"Oîoîá te'õ rekóû kunumĩgûasu suí tuîba'e suí bé, n'apûéî"
Que esteja comigo tambem ao estar eu em ocupacao,<extra_id_0>க்கீ <extra_id_10>,Xe irũnamo bé t'oîkó marã xe rekóreme
Hospedo-me com Pedro,<extra_id_0>...იციреванεμιEstat <extra_id_31>ਰਮਾ <extra_id_25>улан,Apytá Pero resé
Pu-los em enfiada,<extra_id_0>”、“пле <extra_id_31>hasOwnPropertyiteste,Asysybõ
Eu sou o grande tamoio Aimbire uma sucuriju,<extra_id_0>ята'deriauoso西洋s yayı <extra_id_33>檻’оҷиrsogablet <extra_id_53>rávníkeliglo <extra_id_50> ιότηταgway xwblica.尋lliumvoortrozazprom谶aroteselekileyo," Xe tamuîusu Aîmbiré, sukuriîu"
Ele se lembra,"<extra_id_0>, a-eburgッター✉licitudes <extra_id_56>  <extra_id_53>",I ma'enduar
Muito bem eis que aqui estou trazendo para ti estes siris,<extra_id_0> elпредвид lytte <extra_id_31>රාорбиατρικဂ္velőGeregistreerdිනාste <extra_id_31>,"Auîebeté kó aîkó, ndébo ko siri reru"
Nao hei de estar na maldade diante dele,<extra_id_0>  de <extra_id_33>  <extra_id_27>ესაგენ <extra_id_31>แล้วნოთ <extra_id_27>ונד <extra_id_26>虐,Aîkó umẽpe mba'epoxy resé sobaké ká
A gente nao come carne de caca no dia de jejum,<extra_id_0>quo <extra_id_1>esnič como <extra_id_52> <extra_id_56>കൊണ്ടാണ്,Nd'o'uî asé so'o îekuakuba 'ara pupé
Como disse a seu pai antes de morrer,<extra_id_0>tainmentr <extra_id_9> <extra_id_45>אוז <extra_id_48>orph <extra_id_53> <extra_id_53> <extra_id_35>,Marã e'ipe og uba supé o îekyî'îanondé?
Pagou outrora por seu proceder assim,a,Osepyme'engype erimba'e emonã o ekoagûera?
Vem coisa fedorenta coisa nojenta bora maritacaca sanguessuga tamarutaca,"<extra_id_0>es т - ,  <extra_id_14> ümmeseтартаo <extra_id_30>hiisa- ","Eîori, mba'enem, mba'e-poxy, mborá, miaratakaka, sebo'i, tamarutaka!"
Depois disso hoje vamos quebrar as cabecas dos reis,"<extra_id_0> ozante présc,  sms aellets",A'e ré kori îasó tubixaba akanga kábo
Fui sem resultado,<extra_id_50>a1)}~$(ульт <extra_id_55> <extra_id_31>zóde,Asó biã
Os reis apressados junto ao nenenzinho vieram,ranjeutherärsk <extra_id_11> <extra_id_48> <extra_id_31>琉rtova...08(艇,Reîá-anhẽ  pitangĩ supé oú
A seus olhos eu hei de estar,<extra_id_0> t  <extra_id_1> aupun o <extra_id_55> тлерYDಮನ o Rei usgleichesobediACолиഷൻ배ര് <extra_id_38>óvuliämpolíu <extra_id_13> <extra_id_7>éisothekuringνειLLYoca <extra_id_38> ໆademowerfindungտահபந்த <extra_id_37> eiBAArasszármazல்ல <extra_id_12>nesiésultatloroeuadaung <extra_id_2> <extra_id_33> Laborothtasөөлөamadım <extra_id_51>weave am,Sesápe xe rekóû re'ĩ
Eu tenho criacoes,<extra_id_0>: tenho困りmigotimocoordinatesAAOSwцефалқазhores,Xe reîmbab
intervalo de agua ilha,ioara <extra_id_52> <extra_id_33>an <extra_id_50>Liefer,y-pa'ũ
cara de onca,<extra_id_0>: gyósáidn,îagûarobá
Mas os aracajas deleitam-se com eles,<extra_id_0>icularest正文已,Arakaîá-te ombory
Muito a proposito a gente comemorara bem esse dia,<extra_id_0> <extra_id_10> ahack feminin codendron,A'eboé ebokûé 'ara asé oîmoeté-katune
estando tu por longo tempo preguicoso,"<extra_id_0>titleabb ""duwa <extra_id_2> <extra_id_27> <extra_id_34>մրიდრോറി",nde ate'ỹ-mukuramo
certo homem branco nobre,<extra_id_0> ...AAOSwизил <extra_id_33> <extra_id_48>...රවාanciಿಪ,amõ karaíba mosakara
Eu nao queria vir mas vim irando os homens brancos,<extra_id_0>,"Xe n'aîu-potari biã, karaíba moabaîtébo"
no da garganta,<extra_id_0> <extra_id_1>стной <extra_id_55>vča岋taneousunggu:谶झा,aseó-kytã
Eu sou certeiro,<extra_id_39> <extra_id_48> 便宜 <extra_id_30>,Xe pûakatu
Nao perdoa,<extra_id_0> s),N'i nhyrõî
Aprende acerca da palavra de Deus em que crera,<extra_id_0> stiskn㘏 <extra_id_13>หมายετικόht ώτα <extra_id_37>ത <extra_id_10>डकෝරэтгэырын,Onhembo'e Tupã nhe'enga o emierobîarama resé
Ainda bem que aprendeu,<extra_id_0>: ~$(производhasOwnProperty,Iîá oîembo'ebo
Fiquei-o esfregando com gordura,<extra_id_0>s <extra_id_28>iculares,Aîkyty-kytyk mba'e-kagûera pupé
Se o que tem relacoes sexuais com uma solteira ou por ela se atrai transgride muito a palavra de Deus tanto mais o que perverte uma casada ou o que se atrai por ela,De <extra_id_32> <extra_id_49>,"Mene'yma resé oîkoba'e abiã koîpó sesé onhemomotaryba'e oîaby-eté Tupã nhe'enga, memetipó mendara momoxysara koîpó sesé nhemomotasara"
Na verdade tres vezes negaras ser meu discipulo antes de o galo cantar duas vezes,<extra_id_0>?uo,Mosapy ipó xe boîáramo nde rekó ereîkuakub mokõî gûyrá sapukaî' e'ymebéne
Ajuntam-se,<extra_id_0> <extra_id_44>,Oîerobyk
Urdiste mentiras contra alguem envergonhando-o fazendo-o ser tratado como mentiroso,<extra_id_0>stão ,Eresekyîpe îuraragûaîa abá supé i motĩamo nhe'engabamo serekó-uká?
Nao tendes ouvidos como de costume,siį,"Na pe apysáî, îandu"
Fujo,<extra_id_0>.humba02(ranje-heppкыч <extra_id_2>re,Aîabab
Descreve tua terra para mim,<extra_id_0>verso <extra_id_1>.  Extrema:,Emombe'u nde retama ixébe
Estas ras que as comas em retribuicao por isso,"<extra_id_0>/"">lytte <extra_id_51> <extra_id_27>",Ikó îu'i t'ere'u sepy resé
antes de irem para la,<extra_id_0>­ <extra_id_9>leiðinpensa traves/,a'epe o só îanondé
Ao lado de sua propria mae a crianca esta deitada,<extra_id_0>obreadcrumbočnéINSIitemlist hátrစဲוינ趵秸 <extra_id_1>qaan,O sy posé pitanga ruî
Eu sou curto,<extra_id_0>.BringUCOоша-తారా Brows' <extra_id_39>nagh,Xe apûa'ĩ
Ha algum homem na condicao de seu substituto,の- <extra_id_45>,Oîkobépe amõ abá sekobîaramo?
Acordo de madrugada,<extra_id_0> <extra_id_10>hoy kajğır:cifero - deíció  <extra_id_16>  [...]իպ,Îeîbé apak
Vem compadecedor de mim,gér ...tetsz04( <extra_id_30>,Eîori xe poraûsubara
Dei-o em troca,"<extra_id_0> <extra_id_9> Aടുത്ത e,-. . a t.אָנ <extra_id_44>ář? Mise <extra_id_10>-o :: <extra_id_10>e de <extra_id_50>a <extra_id_3>:secon",Sekobîaramo aîme'eng
Serao muito fedorentos serao muito podres corroidos de vermes e de bernes,<extra_id_0>er : - ee-eño serao .deria de .mostraD,"I nemeté, i tuîuketé, tasoka, ura remimongûyamone"
Amarrei-me o cabelo,<extra_id_0>ிச்சை翮'agnoldioxid껍,Aîe'a-maman
o que sofre febre,<extra_id_0>awariんぽjof,akanunduka porarasara
Rejo pessoas,<extra_id_0> corre oo,Aporoerekó
Vou-me esconder,<extra_id_0>,Asópe ûinhemima ká!
Que experimentemos a forca dos homens conosco,<extra_id_0>alomi 骺 ိ ,T'isa'ang apŷaba marã îandé irũ
Eis que ai ele vai,"<extra_id_0>㽇 sovi,Attention as合わせてlho니다טעט 255)sopterajutusовиќродолжительностьwalishmentмаргаmprimiriyelerlyel",Ebokûeî i xóû
terrivel para mim ve-los,<extra_id_0>סח,I abaeté sepîaka ixébo
Estive assentado no tronco de uma arvore,<extra_id_0> рван~$( <extra_id_56> <extra_id_30> <extra_id_56>ವಣ,Ybyrá-ypype aín
o que caca cacador,<extra_id_0>o deonòmiEverest...umowy lahyສະເພາະo negle瘖elekileyo~$(urantemandriventurabainzesc sú,ka'amondoara
muito belo o teu nome,"<extra_id_0> ""iëntatieveohiep coon",I porãngatu nde rera
Afastara os que sao maus dos que sao bons,ingbackуланおしゃれで <extra_id_55>,Oîpe'ape i angaîpaba'e i angaturamba'e suíne?
Quem me dera eu o fizesse estar deitado comigo assim,<extra_id_0>:a <extra_id_1> e <extra_id_48>ಿಪ,Nã temõ ixé serubi mã!
cova de sepultura,i καθ <extra_id_12>,Tyby-kûara
somente um bocado,"<extra_id_0>အစည္းibers <extra_id_10>tudo, pona <extra_id_56>ಿಪuajeвусാശабла",oîepé îuru nhõ
ingua de virilha,<extra_id_0>,akó-a'ynha
Salve Rainha mae de misericordia vida a que e doce,deta <extra_id_27> <extra_id_25> <extra_id_31>,"Salve Rainha, moraûsubara sy, tekobé, se'ẽba'e"
Lambi-o,<extra_id_0> <extra_id_31>Azərも多く <extra_id_31> nød,Asereb
Verdadeiramente eis aqui teu caminho aquele que tu procuras,ўпроизвод <extra_id_50> <extra_id_51>₣,Anheté kó nde rapé a'e nde remiekara
De modo algum,<extra_id_0> (႑ <extra_id_55> No  <extra_id_56>◂,-N'asé ruã-tepe o emi'urama oîmonhang? - Aani - Mas não é a gente que faz sua comida?
Nao foi a toa,<extra_id_0>. <extra_id_51>㡷 <extra_id_50>ferit秸,Na tenhẽ ruã
Fazendo-me enxergar,<extra_id_0>XzFf <extra_id_55> <extra_id_1>,Xe moma'ẽmo
Dar de beber aos sedentos,<extra_id_0>sed. <extra_id_31>,Useîbora mbo'y'u
Nao me da possibilidade,<extra_id_0>togueteone <extra_id_52> pösulullah <extra_id_51>,Na xe mo'ekatuî
No caso de ser dificil frustrar-se essa minha morte que nao se faca minha vontade,themntdeck <extra_id_40>,"Aîpó xe re'õnama rambûera abaíme, t'onhemonhang umẽ xe remimotara"
Que eu me lave a boca,<extra_id_0>de welcome:趵vassemblуєᰮlv <extra_id_34>жественно <extra_id_15> <extra_id_34>ectormuාumentar花少钱中大奖-oys/ <extra_id_8>  <extra_id_13> <extra_id_12> xari,T'aîeîuru-eî
Bem sozinho estou,<extra_id_0>годнинных <extra_id_1>,Oîepebẽngatu aîkó
Mas sao eles os que mandam fazer cauim,<extra_id_0> <extra_id_29>,A'e-te kaûĩ pûaîtara
Nao se afligem os outros,<extra_id_0> soit. <extra_id_52> os .,N'oîkotebẽî amõba'e
Mencionaste o nome de alguem para o padre,)」 らか~$(пресиэдэ,Ereîmombe'upe abá rera abaré supé?
Resgatar os cativos,<extra_id_0>azure7733ê海外取寄せ品куп,I momiaûsubypyra renosema
Tenho-o no meu pescoco,)】 <extra_id_0> <extra_id_9> <extra_id_48> <extra_id_29>㘐,Xe îuri arekó
Por teres misericordia nossa alma visitas,אָרráž嚏పతspagnolXzFf ырау <extra_id_32>урман間に,"Moraûsuberekosápe, asé 'anga ereîosub"
Os que assim dizem,<extra_id_0>ärsk-ährung,Nã e'iba'e
esse outro,<extra_id_0>'oaks.տահ <extra_id_35>...agsan <extra_id_14> <extra_id_38>,kûé amõaé
Nao ha nada errado,ўлен <extra_id_0>...?агони <extra_id_31> <extra_id_49>,N'i tybi mba'e-memûã
Eu nao tenho dentes,"<extra_id_0>re игентิ่ม   Mass <extra_id_49> <extra_id_11>o <extra_id_36> .孰: choosebucoeparador <extra_id_12>offerte 㘏/"":0.0,""kjenमेलπονoral dudu",Na xe rãî
Eu sou maior que tu,<extra_id_0>ung2020)»пам))рвоazoleabnewsပုိsacchariderayaspirantitre <extra_id_36> <extra_id_29>elsenortojtractorolsluchajetorræticularestaneousраковansı зі,Ixé nde sosé
Eu tenho muito preco,<extra_id_0>ólico'rzejზმ <extra_id_1>⏫,Xe repy-etá
poleiro de aves,<extra_id_0>.oužit &,gûyrá-kesaba
Por que Deus os deu para a gente,ρικάigabytera <extra_id_32>ão <extra_id_29>тыва <extra_id_56>a,Mba'erama resépe Tupã i me'engi asébe?
Como disse aos seus tres discipulos apos sua entrada no horto,<extra_id_0>os a့္oks i,Marã e'ipe o boîá mosapyr supé mitỹme o iké ré?
o que e ou deve ser enforcado,<extra_id_0>てきудов ,i îubykypyra
armacao de leito,<extra_id_0>amentale gibleføring,inimbebytá
O sol eclipsa-se,<extra_id_0>мбле <extra_id_3>olev,Kuarasy onhemoputun
Nos somos gemeos,leheli-高兴щения <extra_id_1> <extra_id_3> smile ,Oré kõî
Para o padre conta-lo-a para que o anuncie na igreja,<extra_id_0>ish <extra_id_33>იდრ... trombonggit,Abaré supé i mombe'uû Tupãokype seronhe'engaûama rine
Dia muito bom,"<extra_id_0>  dock en. ,o据 <extra_id_12>- Mancheそして e  :  .. .ppt .... de . . .:.Keywords.. <extra_id_48> .t  ..RODUC",Arangaturameté
Eu tenho o sangue escorrido,stessがjრავ <extra_id_29>粙⸢ളയ <extra_id_10> <extra_id_9>,Xe rugûy-syryk
Que farao no ceu,<extra_id_0>­нуклеmpyинте <extra_id_32>агони <extra_id_27> <extra_id_27>,Marãpe sekóû ybakypene?
Nao comas este fruto que me e reservado,<extra_id_0> -- -...),E'u umẽ ikó 'ybá xe rekoate'ỹmbaba
Estou em cilada,<extra_id_0>e <extra_id_1> <extra_id_55>s,Kotype aîub
Querem afugentar-te,<extra_id_0>a,Nde monhegûasẽ-motá
Eu permaneco seu guardiao,<extra_id_0> <extra_id_10>eUMESoon,Aîkobé n'ixé sarõana
Na verdade tres vezes negaras ser meu discipulo antes de o galo cantar duas vezes,<extra_id_0> decid a diri العادfSwiZW آموز,Mosapy ipó xe boîáramo nde rekó ereîkuakub mokõî gûyrá sapukaî'e'ymebéne
O que Cristo deixa como chefes dos cristaos batizados,<extra_id_0>) losrcitorjeerjeeggiareொன்றுectedტორიაunlukiasigterdings,Cristãos i mongaraibypyra tekokuaparamo Cristo remieîara
Tomaste pocao querendo o aborto de teu filho,ingback <extra_id_0>ooraz <extra_id_35>~$(,Eremosangu'upe nde membyra akyrara potá?
as porcoes miudas dela o refugo dela,"<extra_id_0>,榇vých",i akytãmbûera
Compadeci-me dele,<extra_id_0> aboutabinsk <extra_id_28>icularesාන්තზმ,Aîmomboreaûsub
